name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
,ヒーローマン,TV,26,Finished Airing,"Apr 1, 2010 to Sep 23, 2010",Thursdays at 18 00 (JST),"TV Tokyo, Dentsu, Square Enix",add some,Bones,Original,"Action, Sci-Fi, Shounen",24 min. per ep.,PG,"6.84, 11540",33459,73,"In California's Center City, shy but kindhearted Joseph Carter ""Joey"" Jones lives with his grandmother, working in a coffee shop. Though his family is financially burdened and he is bullied at school, he remains cheerful. A robotics enthusiast, he wants a top-of-the-line toy robot called a Heybo more than anything.

One day Joey and his friend Simon ""Psy"" Kaina come across a destroyed Heybo discarded by a group of rich kids. He takes it home and repairs it himself, excitedly naming it Heroman. However, one night Heroman is struck by lightning and comes to life, growing several times its size in the process.

That same night Center City is attacked by aliens called Skrugg whose attention was brought to Earth after Joey's acquaintance Professor Matthew Denton made attempts to contact them. Along with Joey, Heroman quickly heads to the scene of the attack, where he finds people in trouble, including his friend Lina Davis and her father. Using an arm-mounted controller, Joey is able to command Heroman to use superpowers to fight off the Skrugg and rescue civilians. As the aliens continue their invasion of Earth, the duo are the only ones separating humanity and destruction.

[Written by MAL Rewrite]"
Samurai Girls,百花繚乱 サムライガールズ,TV,12,Finished Airing,"Sep 4, 2010 to Dec 20, 2010",Unknown,"Genco, Lantis, Media Factory, Movic, Hobby Japan, Showgate, Gigno Systems",Sentai Filmworks,Arms,Light novel,"Action, Harem, Comedy, Ecchi, Samurai, School",24 min. per ep.,R+,"6.84, 65711",148806,276,"With its gorgeous landscape and prosperous people, Great Japan is the envy of all other nations. But a serious threat hovers over the country.  Mysterious guardians known as Master Samurai are Great Japan's only defense.

At the behest of the student council, young samurai Muneakira Yagyuu arrives at Buou Academic School. Run by the Tokugawa Shogunate, here children of warriors are given aristocratic education required to run the country. The school is led by the student council president Yoshihiko Tokugawa and his sister Sen, who also happens to be Muneakira's childhood friend.

Upon arriving at the academy, Muneakira finds himself in the midst of a terrible fight. During the chaos, the sky fills with a peculiar white light and a mysterious girl named Juubei Yagyuu appears and suddenly kisses Muneakira. With his kiss, she awakens an unknown power that protects them.

Just who is this girl, and where did she come from? Muneakira finds himself entangled in the fate of the country and a threat that will shake Great Japan to its core. He must learn the secret behind the Master Samurai and the kiss that awakened Juubei's power in order to protect his country.

[Written by MAL Rewrite]"
Voltron Defender of the Universe,百獣王ゴライオン,TV,52,Finished Airing,"Mar 4, 1981 to Feb 24, 1982",Unknown,add some,Media Blasters,Toei Animation,Unknown,"Adventure, Mecha, Sci-Fi, Shounen",23 min. per ep.,PG-13,"6.84, 4200",9652,53,"Golion, a powerful sentient robot, abuses his great powers by attacking and killing creatures known as Deathblack Beastmen, boasting that no one could defeat him. A divine space being punishes Golion for his arrogance and abuse by seperating him into 5 different lion robots. In the year 1999, a group of 5 young men return to Earth after a space voyage, only to find it ravaged by nuclear war. After encountering the alien race known as the Galra, the 5 youths end up on the planet Altea, and learn that the 5 lion robots that Golion was split into are in hibernation in various parts of Altea. Somehow, they must reunite the lions and form Golion, the only hope for the human race.

(Source: ANN)

About Voltron (U.S.)"
,イノセント・ヴィーナス,TV,12,Finished Airing,"Jul 27, 2006 to Oct 26, 2006",Unknown,Bandai Visual,ADV Films,Brain's Base,Original,"Adventure, Drama, Mecha, Military, Sci-Fi",23 min. per ep.,PG-13,"6.84, 9227",24024,60,"In the year 2010 AD, Hyper Hurricanes born concurrently all over the world caused severe damage. Five billion people lost their lives, decreasing the world's population to 3 billion. Existing economies and military were wiped out. Countries were frozen under solid ice, plains sank beneath seas, the world was changed dramatically.

Human civilization enters a chaotic era. Poverty flourished outside of these economic zones and slums were widespread. The ruling class called themselves Logos and maintained their position by force of arms. They call the poor Revenus, who are exiled to live outside the special economic areas.

Time has passed since then. Katsuragi Jo and Tsurasawa Jin, escape from Phantom, a force organized to watch Revenus and to suppress renegade elements of the Logos, taking with them a mysterious girl, Nobuto Sana. There are many who are interested in her, all with their own reasons."
,こばと。 はじめてのこばと。,Special,8,Finished Airing,"Jan 29, 2010 to Mar 30, 2012",,add some,add some,Madhouse,Manga,"Fantasy, Comedy, Drama",1 min. per ep.,G,"6.84, 2900",8401,9,"Mini Flash anime from the limited-edition DVDs volumes (episodes 1-6) and Blu-ray Box (episodes 1-8, of which 7 and 8 were new additions to the Blu-ray box)."
,こどものじかん,TV,12,Finished Airing,"Oct 12, 2007 to Dec 28, 2007",Unknown,"Bandai Visual, Lantis, Movic, Dream Force, Futabasha",add some,Diomedea,Manga,"Comedy, Drama, Ecchi, School",24 min. per ep.,R,"6.84, 44896",95089,530,"3rd grade teacher Aoki Daisuke didn't expect the first class he ever taught to be one of the toughest obstacles of his life. After getting off on the wrong foot with the entire class, a moment of kind-heartedness instantly convinces one of his students, Rin Kokonoe, to make the ill-fated Aoki-sensei her lover. But what exactly are Rin's intentions for wanting to actively seduce Aoki-sensei, and will Aoki-sensei be able to help her to deal with them?"
Here is Greenwood,ここはグリーン・ウッド,OVA,6,Finished Airing,"Nov 22, 1991 to Mar 26, 1993",,add some,"Media Blasters, Central Park Media","Studio Pierrot, Ajia-Do",Manga,"Comedy, Drama, Romance, Shoujo, Slice of Life, Supernatural",30 min. per ep.,PG-13,"6.84, 2371",7185,23,"Hasukawa Kazuya is in a terrible bind. His brother's new wife is also the woman that Kazuya secretly loves. Determined to avoid them both, Kazuya leaves home to live in the student dorm called Greenwood. There, he hopes to find peace of mind. Unfortunately for Kazuya, stability and peace are the last things one might find at Greenwood - home of the weirdest characters on campus.

(Source: ANN)"
,紅 OVA,OVA,2,Finished Airing,"Jul 2, 2010 to Dec 3, 2010",,Shueisha,add some,Brain's Base,Light novel,"Action, Comedy",29 min. per ep.,PG-13,"6.84, 6069",12132,2,A Kure-nai OVA featuring new character designs closer to the novel/manga.
,ラムネ,TV,12,Finished Airing,"Oct 11, 2005 to Dec 27, 2005",Tuesdays at 02 00 (JST),Radix,add some,"Trinet Entertainment, Picture Magic",Visual novel,"Drama, Romance, Slice of Life",24 min. per ep.,PG-13,"6.84, 15855",36666,70,"Lamune tells the story of a boy named Kenji and his childhood friend Nanami. Although, everyone seems to know that they have a relationship, neither are determined to push it anymore than close friends. The story goes through flashbacks, explaining why they are such close friends and any action doesn't seem to push them apart, but draw them closer.

(Source: ANN)"
Lupin III The Columbus Files,ルパン三世『愛のダ・カーポ ～Fujiko's Unlucky Days』,Special,1,Finished Airing,"Jul 30, 1999",,"VAP, Tokyo Movie Shinsha, Tohokushinsha Film Corporation",Funimation,add some,Manga,"Action, Adventure, Mystery, Comedy, Seinen",1 hr. 32 min.,PG-13,"6.84, 2077",5324,1,"When Fujiko acquires and memorizes papers called the Columbus Files, she is attacked and loses her memory. Lupin, a treasure hunter named Rosaria, and the cackling villain Nazaroff all pursue Fujiko, as she is the only key to the location of Columbus' Egg, a treasure connected to the mysterious Orgone Energy. 

(Source: ANN)"
